securities

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
1954;SECID;Код инструмента;Идентификатор финансового инструмента;1;0;0;;0;0;string;;0
1920;SHORTNAME;Кратк. наим.;Краткое наименование ценной бумаги;1;0;0;;0;0;string;;1
1940;PREVWAPRICE;Средневзвешенная цена предыдущего дня, % к номиналу;Средневзвешенная цена предыдущего дня, % к номиналу;0;0;1;;0;0;number;;0
1941;YIELDATPREVWAPRICE;Доходность по оценке пред. дня;Доходность по оценке пред. дня;0;0;0;;0;0;number;;0
1936;COUPONVALUE;Сумма купона;Сумма купона;0;0;1;;0;0;number;;0
1938;NEXTCOUPON;Дата окончания купона;Дата окончания купона;0;0;1;;0;0;date;;0
1934;ACCRUEDINT;НКД;Накопленный купонный доход;0;0;0;;0;0;number;;0
1931;PREVPRICE;Последняя цена пред. дня;Цена последней сделки предыдущего торгового дня, % к номиналу;0;0;0;;0;0;number;;0
1926;LOTSIZE;Размер лота;Размер лота в единицах ценных бумаг, штук;0;0;0;;0;0;number;0;0
1928;FACEVALUE;Непог.долг;Непогашенный долг;0;0;0;;0;0;number;;0
855;BOARDNAME;Режим торгов;Режим торгов;1;0;0;;0;0;string;;0
1953;BOARDID;Код режима;Идентификатор режима торгов;0;0;0;;0;0;string;;0
1921;STATUS;Статус;Статус;0;0;0;;0;0;string;;0
1935;MATDATE;Дата погашения;Дата погашения, дд.мм.гг;0;0;1;;0;0;date;;0
1932;DECIMALS;Точность;Точность, знаков после запятой;0;0;1;;0;0;number;0;0
1937;COUPONPERIOD;Длительность купона;Длительность купона;0;0;1;;0;0;number;0;0
1939;ISSUESIZE;Объем выпуска, штук;Объем выпуска, штук;0;0;1;;0;0;number;0;0
1950;PREVLEGALCLOSEPRICE;Официальная цена закрытия предыдущего дня;Официальная цена закрытия предыдущего дня;0;0;1;;0;0;number;;0
1951;PREVADMITTEDQUOTE;Признаваемая котировка предыдущего дня;Признаваемая котировка предыдущего дня;0;0;1;;0;0;number;;0
1930;PREVDATE;Дата последних торгов;Дата последних торгов;0;0;1;;0;0;date;;0
1918;SECNAME;Наименование;Наименование финансового инструмента;0;0;1;;0;0;string;;0
1919;REMARKS;Примечание;Примечание;0;0;1;;0;0;string;;0
1923;MARKETCODE;Рынок;Рынок;0;0;1;;0;0;string;;0
1924;INSTRID;Группа инструментов;Группа инструментов;0;0;0;;0;0;string;;0
1925;SECTORID;Сектор;Сектор;0;0;0;;0;0;string;;0
1927;MINSTEP;Мин. шаг цены;Мин. шаг цены;0;0;1;;0;0;number;;0
1929;FACEUNIT;Валюта номинала;Валюта номинала;0;0;1;;0;0;string;;0
1943;BUYBACKPRICE;Цена оферты;Цена оферты;0;0;1;;0;0;number;;0
1944;BUYBACKDATE;Дата, к кот.рассч.доходность;Дата, к которой рассчитывается доходность (если данное поле не заполнено, то "Доходность посл.сделки" рассчитывается к Дате погашения);0;0;1;;0;0;date;;0
1947;ISIN;ISIN;ISIN;0;0;1;;0;0;string;;0
1948;LATNAME;Англ. наименование;Англ. наименование;0;0;1;;0;0;string;;0
1949;REGNUMBER;Регистрационный номер;Регистрационный номер;0;0;1;;0;0;string;;0
1942;CURRENCYID;Сопр. валюта инструмента;Сопр. валюта инструмента;0;0;1;;0;0;string;;0
4032;ISSUESIZEPLACED;Объем в обращении;Количество размещенных ценных бумаг, находящихся в обращении;0;0;0;;0;0;number;0;0
4287;LISTLEVEL;Уровень листинга;Уровень листинга;0;0;0;;0;0;number;0;0
1952;SECTYPE;Тип ценной бумаги;Тип ценной бумаги;0;0;1;;0;0;string;;0
5414;COUPONPERCENT;Ставка купона, %;Ставка купона, %;0;0;0;;0;0;number;2;0


marketdata

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
1954;SECID;Код инструмента;Идентификатор финансового инструмента;1;0;0;;0;0;string;;0
1956;BID;Спрос;Спрос;0;0;0;;0;0;number;;0
1957;BIDDEPTH;Объем лучшей котировки на покупку, штук;Объем лучшей котировки на покупку, штук;0;0;0;;0;0;number;0;0
1960;OFFER;Предложение;Предложение;0;0;0;;0;0;number;;0
1961;OFFERDEPTH;Объем лучшей котировки на продажу, штук;Объем лучшей котировки на продажу, штук;0;0;0;;0;0;number;0;0
2006;SPREAD;Спред;Разница между лучшей котировкой на продажу и покупку (спред), % к номиналу;0;0;0;;0;0;number;;0
1958;BIDDEPTHT;Совокупный спрос;Совокупный спрос;0;0;0;;0;0;number;0;0
1962;OFFERDEPTHT;Общий объем на продажу;Общий объем котировок на продажу, лотов;0;0;0;;0;0;number;0;0
1964;OPEN;Первая, %;Цена первой сделки, % к номиналу;0;0;0;;0;0;number;;0
1966;LOW;Минимум, %;Минимальная цена сделки, % к номиналу;0;0;0;;0;0;number;;0
1965;HIGH;Максимум, %;Максимальная цена сделки, % к номиналу;0;0;0;;0;0;number;;0
1967;LAST;Цена посл., %;Цена последней сделки, %;0;0;0;1969;0;0;number;;0
2005;LASTCHANGE;Изменение;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня;0;0;0;;0;0;number;;0
1969;LASTCHANGEPRCNT;Изменение последней, %;Изменение цены последней сделки к цене предыдущей сделки, %;1;0;0;1969;1;1;number;2;0
1971;QTY;Объем последней, лотов;Объем последней сделки, лотов;0;0;0;;0;0;number;0;0
1977;VALUE;Объем последней, руб.;Объем последней сделки, руб.;0;0;0;;0;0;number;;0
1992;YIELD;Доходность пслд.сделки;Доходность по последней сделке;0;0;0;;0;1;number;;0
1978;VALUE_USD;Объем последней, дол. США;Объем последней сделки, дол. США;0;0;1;;0;0;number;2;0
1979;WAPRICE;Срвзв. цена, %;Средневзвешенная цена, % к номиналу;0;0;0;;0;0;number;;0
1970;LASTCNGTOLASTWAPRICE;Изменение к средневзвешенной цене;Изменение цены последней сделки к средневзвешенной цене, % к номиналу.;0;0;1;;0;0;number;;0
1980;WAPTOPREVWAPRICEPRCNT;Изменение срвзв. к срвзв. пред. дня, %;Изменение средневзвешенной цены относительно средневзвешенной цены предыдущего торгового дня, %;0;0;0;;0;0;number;2;0
1981;WAPTOPREVWAPRICE;Изменение срвзв. к срвзв. пред. дня;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, % к номиналу;0;0;0;;0;0;number;;0
1993;YIELDATWAPRICE;Доходность по срвзв.;Доходность по средневзвешенной цене, % годовых;0;0;0;;0;0;number;;0
2649;YIELDTOPREVYIELD;Изменение доходности;Изменение доходности по средневзвешенной к доходности по средневзвешенной цене предыдущего дня, % годовых;0;0;0;;0;0;number;;0
1994;CLOSEYIELD;Доходность по закрытию;Доходность по закрытию;0;0;0;;0;0;number;;0
1986;CLOSEPRICE;Закрытие;Закрытие;0;0;0;;0;0;number;;0
1990;MARKETPRICETODAY;Рыночная цена;Рыночная цена, % к номиналу;0;0;1;;0;0;number;;0
1989;MARKETPRICE;Рыночная цена пред. дня;Рыночная цена предыдущего дня, % к номиналу;0;0;1;;0;0;number;;0
1991;LASTTOPREVPRICE;Изменение к послдн. цене пред. дня, %;Изменение цены последней сделки к последней цене предыдущего дня, %;1;0;0;1991;1;1;number;;0
1984;NUMTRADES;Количество сделок;Количество заключенных сделок, штук;1;0;0;;0;0;number;0;0
1973;VOLTODAY;Объем в бумагах;Объем заключенных сделок в единицах ценных бумаг, штук;1;0;0;;0;0;number;0;0
1974;VALTODAY;Объем в валюте;Объем: для ОФЗ - в рублях. Для облигаций в Т+ (кроме ОФЗ) - в долларах США. Для номинированных в евро – в евро, для остальных облигаций в Т0 - в рублях;1;0;0;;0;0;number;0;0
1975;VALTODAY_USD;Объем сделок, дол. США;Объем заключенных сделок, дол. США;0;0;0;;0;0;number;0;0
1953;BOARDID;Код режима;Идентификатор режима торгов;0;0;0;;0;0;string;;0
1976;TRADINGSTATUS;Состояние сессии;Состояние торговой сессии;0;0;0;;0;0;string;;0
