securities

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
1866;SECID;Код инструмента;Идентификатор финансового инструмента;1;0;0;;0;0;string;;0
1865;BOARDID;Код режима;Идентификатор режима торгов;0;0;0;;0;0;string;;0
1842;SHORTNAME;Кратк. наим.;Краткое наименование ценной бумаги;1;0;0;;0;0;string;;1
1853;PREVPRICE;Последняя предыдущего дня;Цена последней сделки нормального периода предыдущего торгового дня;0;0;1;;0;0;number;;0
1848;LOTSIZE;Размер лота;Количество ценных бумаг в одном стандартном лоте;0;0;0;;0;0;number;0;0
1850;FACEVALUE;Номинал;Номинальная стоимость одной ценной бумаги, в валюте инструмента;0;0;0;;0;0;number;;0
1843;STATUS;Статус;Индикатор "торговые операции разрешены/запрещены";0;0;0;;0;0;string;;0
855;BOARDNAME;Режим торгов;Режим торгов;1;0;0;;0;0;string;;0
1854;DECIMALS;Точность;Точность, знаков после запятой;0;0;1;;0;0;number;0;0
1840;SECNAME;Наименование;Наименование финансового инструмента;0;0;1;;0;0;string;;0
1841;REMARKS;Примечание;Примечание;0;0;1;;0;0;string;;0
1845;MARKETCODE;Рынок;Идентификатор рынка на котором торгуется финансовый инструмент;0;0;1;;0;0;string;;0
1846;INSTRID;Группа инструментов;Группа инструментов;0;0;0;;0;0;string;;0
1847;SECTORID;Сектор;Сектор;0;0;0;;0;0;string;;0
1849;MINSTEP;Мин. шаг цены;Минимально возможная разница между ценами, указанными в заявках на покупку/продажу ценных бумаг;0;0;1;;0;0;number;;0
1856;PREVWAPRICE;Оценка пред. дня;Значение оценки (WAPRICE) предыдущего торгового дня;0;0;1;;0;0;number;;0
1851;FACEUNIT;Валюта номинала;Код валюты, в которой выражен номинал ценной бумаги;0;0;1;;0;0;string;;0
1852;PREVDATE;Дата последних торгов;Дата предыдущего торгового дня;0;0;1;;0;0;date;;0
1855;ISSUESIZE;Объем выпуска;Объем выпуска;0;0;1;;0;0;number;0;0
1859;ISIN;ISIN;Международный идентификационный код ценной бумаги;0;0;1;;0;0;string;;0
1860;LATNAME;Англ. наименование;Наименование финансового инструмента на английском языке;0;0;1;;0;0;string;;0
1861;REGNUMBER;Регистрационный номер;Номер государственной регистрации;0;0;1;;0;0;string;;0
1862;PREVLEGALCLOSEPRICE;Цена закрытия предыдущего дня;Официальная цена закрытия предыдущего дня, рассчитываемая по методике ФСФР;0;0;1;;0;0;number;;0
1863;PREVADMITTEDQUOTE;Признаваемая котировка предыдущего дня;Признаваемая котировка предыдущего дня, цена за одну ценную бумагу;0;0;1;;0;0;number;;0
1857;CURRENCYID;Валюта;Валюта расчетов;0;0;1;;0;0;string;;0
1864;SECTYPE;Тип ценной бумаги;Тип ценной бумаги;0;0;1;;0;0;string;;0
4286;LISTLEVEL;Уровень листинга;Уровень листинга;0;0;0;;0;0;number;0;0


marketdata

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
1866;SECID;Код инструмента;Идентификатор финансового инструмента;1;0;0;;0;0;string;;0
1865;BOARDID;Код режима;Идентификатор режима торгов;0;0;0;;0;0;string;;0
1868;BID;Спрос;Лучшая котировка на покупку;0;0;0;;0;0;number;;0
1869;BIDDEPTH;Лотов на покупку по лучшей;Объем заявок на покупку по лучшей котировке, выраженный в лотах;0;0;0;;0;0;number;0;0
1872;OFFER;Предложение;Лучшая котировка на продажу;0;0;0;;0;0;number;;0
1873;OFFERDEPTH;Лотов на продажу по лучшей;Объем заявок на продажу по лучшей котировке, выраженный в лотах;0;0;0;;0;0;number;0;0
1914;SPREAD;Спред;Разница между лучшей котировкой на продажу и покупку (спред), руб.;0;0;0;;0;0;number;;0
1870;BIDDEPTHT;Совокупный спрос;Объем всех заявок на покупку в очереди Торговой Системы, выраженный в лотах;0;0;0;;0;0;number;0;0
1874;OFFERDEPTHT;Совокупное предложение;Объем всех заявок на продажу в очереди Торговой Системы, выраженный в лотах;0;0;0;;0;0;number;0;0
1876;OPEN;Первая;Цена первой сделки;0;0;0;;0;0;number;;0
1878;LOW;Минимум;Минимальная цена сделки;0;0;0;;0;0;number;;0
1877;HIGH;Максимум;Максимальная цена сделки;0;0;0;;0;0;number;;0
1879;LAST;Последняя;Цена последней сделки;0;0;0;1915;0;0;number;;0
1913;LASTCHANGE;Изменение последней, руб.;Изменение цены последней сделки к цене предыдущей сделки, рублей;0;0;0;1913;0;0;number;;0
1881;LASTCHANGEPRCNT;Изменение последней, %;Изменение цены последней сделки к цене предыдущей сделки, %;1;0;0;1881;1;1;number;2;0
1884;QTY;Лотов в последней;Объем последней сделки, в лотах;0;0;0;;0;0;number;0;0
1890;VALUE;Объем в последней;Объем последней сделки, в руб.;0;0;0;;0;0;number;;0
1891;VALUE_USD;Объем последней, дол. США;Объем последней сделки, дол. США;0;0;1;;0;0;number;2;0
1892;WAPRICE;Ср.взвеш.;Средневзвешенная цена;0;0;0;1893;0;0;number;;0
1883;LASTCNGTOLASTWAPRICE;Изменение к средневзвешенной цене;Изменение цены последней сделки к средневзвешенной цене, рублей;0;0;1;1883;0;0;number;;0
1893;WAPTOPREVWAPRICEPRCNT;Изменение срвзв. к срвзв. пред. дня, %;Изменение средневзвешенной цены относительно средневзвешенной цены предыдущего торгового дня, %;0;0;0;1893;1;1;number;2;0
1894;WAPTOPREVWAPRICE;Изменение срвзв. к срвзв. пред. дня;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, рублей;0;0;0;1894;1;0;number;;0
1899;CLOSEPRICE;Цена послеторгового периода;Цена послеторгового периода;0;0;0;;0;0;number;;0
1903;MARKETPRICETODAY;Рыночная цена;Рыночная цена по результатам торгов сегодняшнего дня, за одну ценную бумагу;0;0;1;;0;0;number;;0
1902;MARKETPRICE;Рыночная цена предыдущего дня;Рыночная цена ценной бумаги по результатам торгов предыдущего дня, за одну ценную бумагу;0;0;1;;0;0;number;;0
1915;LASTTOPREVPRICE;Изменение к пред. дню, %;Изменение цены последней сделки к последней цене предыдущего дня, %;1;0;0;1915;1;1;number;;0
1897;NUMTRADES;Сделок сегодня;Количество сделок за торговый день;0;0;0;;0;0;number;0;0
1886;VOLTODAY;Количество сегодня;Объем совершенных сделок, выраженный в единицах ценных бумаг;0;0;0;;0;0;number;0;0
